"Instructions                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                1. Any cells highlighted in yellow require your input. Please note that your seat affiliation is prefilled, so that we may better contextualize group responses.
2. Please rate each issue either “High”, “Medium”, or “Low” priority. Use the pull-down menu to select a rating. You can only select a rating of “High” 10 times, “Medium” 11 times, and “Low” 11 times. There is a counter at the top of the spreadsheet to help you track these numbers as you go.
3. If you think we missed an issue, please write it in the “Other” box at the bottom of each focus area. We also have an “Other” option if you think we missed a focus area. If you do write-in an “Other” issue, please do not rate it - we will collate responses for a group discussion at the November meeting.",,,,No. of High Issues (10),10
,,,,No. of Medium Issues (11),11
,,,,No. of Low Issues (11),11
,,,,,
Seat Affiliation,Focus Areas,Description,Issues to rate,Score,
,Treaty Trust Responsibility (1),"The Sanctuary's relationship with federally recognized tribes is unique within NOAA’s Office of National Marine Sanctuaries. Tribal treaties along with associated federal statutes, Executive Orders, and court rulings have established a unique legal relationship, an overarching federal trust responsibility of the United States to Indian tribes. This trust responsibility establishes legal obligations of the United States to Indian tribes, including the protection of treaty fishing rights. The trust responsibility of the Sanctuary to the Makah, Quileute, and Hoh tribes and Quinault Indian Nation is articulated in several judicial decisions, OCNMS regulations and in Executive Order 13175 of November 6, 2000, Consultation and Coordination With Indian Tribal Governments. NOAA's Olympic Coast National Marine Sanctuary recognizes the preexisting treaty rights of the Hoh, Makah, and Quileute tribes, and the Quinault Indian Nation, and supports the active exercise of those rights. 

OCNMS is recommending that this be one of the listed preliminary priority issues, and is not including it as something to be rated.",,"Do not score

Priority topic",
,Collaborative and Coordinated Management (5),"OCNMS depends on partnerships in almost everything it does. This includes, but is not limited to, a collaborative and coordinated approach to management. Active partnerships provide a more transparent and inclusive structure for management of Olympic Coast marine resources within tribal, local, state, federal and international jurisdictions. This is not an exhaustive list and does not include all critical partnerships, such as those needed for research, monitoring, and educational programs.",,"Do not score

Focus Area description",
OCNMS,Collaborative and Coordinated Management,"OCNMS needs to collaborate and coordinate with a number of federal agencies including, but not restricted to, NOAA Fisheries, National Center for Coastal Ocean Science, Office of Coast Survey, Department of the Interior Olympic National Park and Washington Maritime National Wildlife Refuge Complex, US Coast Guard and the US Navy.",Federal agencies,Medium,
OCNMS,Collaborative and Coordinated Management,"Key Washington State partners include, but are not limited to, the Office of the Governor, Department of Natural Resources, Department of Ecology, Department of Fish and Wildlife.",State agencies,Medium,
OCNMS,Collaborative and Coordinated Management,"OCNMS is almost entirely encompassed by the traditional harvest areas of the Hoh, Makah, and Quileute tribes, and the Quinault Indian Nation. As sovereign nations, the tribes have treaty ?shing rights and co-management responsibilities with the State of Washington for ?shery resources and ?shing activities within the sanctuary. These common interests and joint authorities led the Hoh, Makah, and Quileute tribes, the Quinault Indian Nation, the state of Washington and the National Oceanic and Atmospheric Administration Of?ce of National Marine Sanctuaries to create the Olympic Coast Intergovernmental Policy Council (IPC) in 2007. The IPC provides a regional forum for resource managers to exchange information, coordinate policies, and develop recommendations for resource management within the sanctuary. While working with the IPC does not replace OCNMS's treaty trust responsibilities for formal consultation with each tribe as noted above, OCNMS does seek to coordinate and collaborate with the IPC as a whole. ",Intergovernmental Policy Council,High,
OCNMS,Collaborative and Coordinated Management,"Collaborate and coordinate with the Coastal Treaty Tribes (Hoh, Makah, and Quileute Tribes and Quinault Indian Nation), and partner with tribal staff members to address sanctuary projects and management issues that are of interest to the tribes.",Coastal Treaty Tribes,High,
OCNMS,Collaborative and Coordinated Management,"OCNMS has coordinated with a number of Canadian agencies on vessel traffic, research, oil spill drills, marine protected area management and whale conservation.",Canadian government,Medium,
OCNMS,Collaborative and Coordinated Management,"Other? Write out a brief description of any new/additional topics that you think should be prioritized. Score it in Column D, but note you are still limited to the total numer of scores (10-High, 11-Medium, and 11-Low)","Write in ""other"" here, if applicable",Do not score,
,Community Engagement (3),"Community involvement is crucial to achieving effective marine resource protection, which is the primary goal of the National Marine Sanctuaries Act. Accordingly, effective community engagement is critical to the success of all OCNMS programs and OCNMS support of statewide and regional efforts, as well as community partnerships and involvement overall can help improve the sanctuary management process. ",,"Do not score

Focus Area description",
OCNMS,Community Engagement,"The OCNMS Advisory Council provides advice on the management and protection of the sanctuary. A community-based body, the Advisory Council, through its members, serves as a liaison to the community regarding sanctuary issues and represents community interests, concerns, and management needs to the sanctuary. The council is comprised of representatives of Indian tribes, state and local governments, other federal agencies, maritime industry, fishing, education, tourism, conservation organizations and the community at large.",Advisory Council,Medium,
OCNMS,Community Engagement,"Two of the coastal MRCs formed are adjacent to OCNMS: the North Pacific Coast MRC and Grays Harbor MRC. Their goal is to understand, steward, and restore the marine and estuarine ecological processes of the Washington coast in support of ecosystem health, sustainable marine resource-based livelihoods, cultural integrity, and coastal communities.",Marine Resource Committees,High,
OCNMS,Community Engagement,"Involvement of local and regional communities in sanctuary programs is vital. It is important that people on the Olympic Peninsula and in the region are aware of the Sanctuary’s presence and management goals, and have meaningful opportunities to be involved in sanctuary programs. This will foster a sense of marine stewardship. Community outreach efforts include volunteer programs, social media, citizen science initiatives, speaker series, and specific outreach events such as OCNMS presence at community festivals.",Community outreach,High,
OCNMS,Community Engagement,"Other? Write out a brief description of any new/additional topics that you think should be prioritized. Score it in Column D, but note you are still limited to the total numer of scores (10-High, 11-Medium, and 11-Low)","Write in ""other"" here, if applicable",Do not score,
,Ocean Literacy (3),"Education is crucial to achieving effective marine resource protection, which is the primary goal of the National Marine Sanctuaries Act.",,"Do not score

Focus Area description",
